"Order details","Order status","Order date","Product","Shipping","Sales channel"
"114-6152208-0200211 (157611918274961)","Payment Complete","4/10/2026, 10:14:18 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-5304978-2495449 (157514554630561)","Payment Complete","4/10/2026, 4:14:09 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-6997525-8393853 (157450679980401)","Payment Complete","4/9/2026, 2:02:58 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-2163357-6321824 (157453781267041)","Payment Complete","4/9/2026, 1:58:27 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Standard ","Ship"
"112-4918503-6937028 (157192981028641)","Payment Complete","4/5/2026, 3:01:33 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-7161640-1699423 (157143737512561)","Payment Complete","4/4/2026, 5:14:09 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Standard ","Ship"
"114-3533784-0847410 (157105932367801)","Payment Complete","4/3/2026, 11:20:11 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Standard ","Ship"
"113-5638904-3497008 (157076080900481)","Payment Complete","4/3/2026, 1:09:38 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-5009908-7737056 (157061235588601)","Payment Complete","4/3/2026, 3:45:32 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-9991985-8152212 (157054665664281)","Payment Complete","4/3/2026, 3:32:11 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-9577220-5777841 (156907666460361)","Payment Complete","3/31/2026, 7:15:42 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-2958104-2029861 (156888510259521)","Payment Complete","3/31/2026, 4:25:52 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-4889282-4637814 (156650390380281)","Payment Complete","3/27/2026, 9:18:19 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-1404214-0956236 (156598595807761)","Payment Complete","3/27/2026, 12:26:39 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Standard ","Ship"
"111-1516674-7099410 (156233494821801)","Payment Complete","3/21/2026, 3:19:14 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-3365000-0776269 (156194269280761)","Payment Complete","3/20/2026, 2:16:41 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-7479741-1429864 (156146177552361)","Payment Complete","3/19/2026, 5:05:38 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","NextDay ","Ship"
"112-1195169-4968218 (155938812261841)","Payment Complete","3/16/2026, 3:51:38 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-7719438-0771429 (155921985414801)","Payment Complete","3/16/2026, 1:18:07 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
